ID,Tweet,Author,Class,NumberOfTotalCharacters,NumberOfUppercaseCharacters,NumberOfLowercaseCharacters,NumberOfSpecialCharacters,NumberOfNumbers,NumberOfBlanks,NumberOfWords,AverageLengthOfWords,NumberOfPropositions,PropositionsLength,NumberOfPunctuationCharacters,NumberOfLowercaseWords,NumberOfUppercaseWords,VocabularyRichness,Flesch Kincaid Grade Level,Flesch Reading Ease formula,Dale Chall Readability,Automated Readability Index,Coleman Liau Index,Gunning Fog,SMOG(Simple Measure of Gobbledygook),Linsear Write
36174865,Woohooo!!! #ElGammaPenumbra !!! #GoldenBuzzer #AsiasGotTalent,Human,0,61,9,39,9,0,4,5,12,4,1.5,6,0,0,1,21.4,-51.03,19.62,47.7,46.4,31.6,0,4.5
37407255,"@buzzandhum Next cat / beer match, @Garage_Project Death From Above! #decklife",Human,0,78,6,55,7,0,10,11,6.71,2,5.5,2,5,0,1,4.8,78.25,8.87,15.6,17.2,8,0,5.5
38077486,Midterm is finally over and it's a long weekend! Can't wait to get some sleep! ,Human,0,79,2,58,4,0,15,15,5.29,2,7.5,4,15,0,1,1.5,97.7,6.11,2.4,3.55,3,0,3.25
38254693,Rockin to WBBZ this AM. That bass line from Duran Duran on Rio is just badass.,Human,0,78,11,50,2,0,15,16,4.62,2,8,2,9,2,0.88,1.7,97.2,9.95,1.1,2.45,3.2,0,3
38433789,Non-spoilery Avengers 2 reaction: different than I expected. But not in a bad way. Loved it.,Human,0,92,5,66,5,1,15,16,7.29,3,5.33,5,10,1,1,5.2,71.82,10.94,5.2,6.45,8.2,0,5
134,all of my school's business class students are in that society of theres,Human,0,72,0,59,1,0,12,13,6.8,1,13,1,14,0,1,4.8,83.66,9.14,6.8,8.16,8.28,0,6.5
38788028,@simonpomery waaaaa it's fucking brilliant!,Human,0,43,0,36,3,0,4,5,8.25,1,5,2,6,0,1,7.6,49.48,16.52,17.8,20.04,10,0,2.5
123,@raymondowey @John_RUNS @Ghandi1019 @A_Mar15 He deserves it. Should pick better teams.,Human,0,86,10,52,8,6,10,11,7.71,2,5.5,2,6,0,1,4.3,74.35,12.52,13.9,15.76,5.84,0,2.25
41062153,"RT @PapaJackQuote: When you find the right person who makes you happy, don't let them go.",Human,0,89,6,63,5,0,15,16,5.43,1,16,4,14,1,1,6,80.62,7.39,8.4,7.42,8.9,0,8
41463548,@OKRoserock you were drawn in by the draftiness. #doublewinkwink,Human,0,64,3,50,3,0,8,9,9.75,2,4.5,1,8,0,1,3.3,87.72,11.1,12.4,15.11,3.6,0,3.5
41950696,OMG! Ive been waiting for this episode! #TheBigBangTheory,Human,0,57,8,39,3,0,7,8,7.2,3,2.67,2,5,1,1,8.8,46.44,13.9,12,14.46,8.2,0,4
42207885,"RT @ImNotScottySire: I love you, you don't love me, how we gon' be a happy family?",Human,0,82,7,53,7,0,15,16,5.25,1,16,6,14,2,0.88,6,80.62,7.39,6.3,4.17,8.9,0,9
42434209,WHY DO YOU KEEP KILLING CISCO? #TheFlash,Human,0,40,26,6,2,0,6,7,6.67,2,3.5,1,0,6,1,2.5,89.75,10.75,5,6.56,2.8,0,2.5
42580296,I think the girl awkwardly singing behind me in line is hoping someone will give her a compliment but it's not gonna come from me. #ThaFuck,Human,0,139,3,108,3,0,25,26,6,2,13,2,26,1,1,9.9,70.47,8.57,12.2,7.78,13.48,0,15
42642152,@kaitlinmonte @PIX11News missed it! Will this segment be available online?,Human,0,74,5,54,4,2,9,10,8.17,2,5,2,8,0,1,2.9,83.32,13.36,11.7,13.66,2,0,1.5
42772007,"RT @chuckwoolery: 15 trillion,yes that's trillion was spent on #poverty in the USA in the last 40yrs, 2012 stats. If money were the answer?",Human,0,139,6,94,12,4,23,24,5.54,2,12,6,21,2,0.92,4.4,84.68,10.15,7.3,7.93,6.47,0,5.5
43168457,pamatay oras mga kwento sah Sino Mo To #ItsShowtime #kalowKA,Human,0,60,7,42,2,0,9,10,5.22,1,10,0,5,0,1,3.7,86.71,18.34,7.6,9.66,4,0,4
43289403,Those people who won't let you speak. Ahhhh. Communication does not work this way.,Human,0,82,3,62,4,0,13,14,6,3,4.67,4,12,0,1,4.8,72.83,6.24,5.3,6.97,8.51,0,3.5
43476480,RT @KeriHilson: Best part about summer is working out with bae!! WAY more fun!! ,Human,0,80,8,52,6,0,14,14,5,3,5,5,10,2,1,3.7,81.29,8.5,4.3,4.94,5.66,0,3
43507359,RT @GODs_Graces: Jesus is all I need.,Human,0,37,8,19,4,0,6,7,6,1,7,2,3,2,1,3.7,81.29,10.75,2.9,3.26,8.51,0,3.5
45598301,Where can I buy scantrons?,Human,0,26,2,19,1,0,4,5,6,1,5,1,3,1,1,0.5,100.24,7.04,1.8,2.64,2,0,1.5
47291639,@sarahhhhrussell @MComise06 start a fundraiser lol.,Human,0,51,2,39,3,2,5,6,9.75,1,6,1,5,0,1,6.8,56.93,14.46,17.7,20.75,9.07,0,3
47463837,Anyone going to watch the fight tomorrow?,Human,0,41,1,33,1,0,6,7,6,1,7,1,6,0,1,6,64.37,0.35,5.6,8.24,2.8,0,3.5
75,RT @iowahawkblog: Maybe the Orioles should secretly move to Indianapolis tonight.,Human,0,81,5,63,3,0,10,11,7.43,1,11,2,7,1,1,8.8,51.85,11.36,14.4,17.38,15.31,0,7.5
48587561,"@xreporter I would never do that to you, Frank.",Human,0,47,2,34,3,0,8,9,7,1,9,2,7,1,1,2.1,96.18,7.59,3.5,4.14,3.6,0,3.5
49446305,#RR promoting out of form Sanju doing lots of good to his confidence and it is evident on field #IPL2015,Human,0,104,6,73,2,4,19,20,5.89,1,20,0,17,2,1,8.7,68.1,10.94,8.6,6.79,14,0,13
50252197,"@cnrsocial1 @mushsiddiqi - I am in Pakistan. aftershock hit Indian capital New Delhi and also Peshawar, Northern city in Pakistan",Human,0,129,8,96,5,1,19,20,7.33,2,10,3,11,1,0.92,9.4,44.91,9.09,10.6,13.02,10.12,0,6.5
50683007,RT @RonaId_Swanson: If your dad doesn't have a mustache then you have two moms.,Human,0,79,6,55,5,0,13,14,5.67,1,14,3,12,1,1,5.2,82.65,8.84,7.8,7.82,8.46,0,7
94,@congressforever Why are you lying? Govt growth data is almost similar to what IMF says. Moodys upgraded India to positive! Plz explain,Human,0,135,8,102,4,0,21,22,6.23,4,5.5,3,16,1,1,7.3,55.61,12.61,6.6,9.06,10.19,9.7,4
67,@congressforever #Hypocrisy? Inflation increased then Blame Modi but decreased it's because of Crude prices? What's next?,Human,0,121,6,93,7,0,15,16,7.89,3,5.33,5,12,0,1,9.5,55.24,12.33,17.8,18.33,11.4,0,9
107,"@congressforever Your #Congress numbers are fake, lies, bogus! Mnrega has received more money from BJP this time than in UPA",Human,0,124,9,91,5,0,19,20,6,2,10,3,15,2,1,7.2,61.33,11.24,8.3,10.24,8,0,5
50737284,@hlsdk my absolute pleasure. Thank you for sharing your thoughts on this matter!,Human,0,80,1,64,3,0,12,13,7,2,6.5,2,12,0,1,4.6,73.34,8.82,6.5,8.76,5.68,0,2.75
50901303,My cleaning lady is super proud of herself for catching a dove on the windowsill after 3 years of trying 2 get 2 the nest. #Egyptian #people,Human,0,140,2,106,3,3,26,27,5,2,13.5,1,22,0,0.92,11.5,60.99,10.24,11.9,6.85,10.8,0,13.5
51465730,@jpav25 How is Haywoode Workman?  I always thought having a former NBA player officiating seemed like a good idea.,Human,0,114,7,83,3,2,19,19,6.38,2,9.5,2,14,2,1,5.8,70.29,9.09,6.9,9.02,5.91,0,4.25
52220699,People don't know how to get out of the fucking way.,Human,0,52,1,39,2,0,10,11,5,1,11,2,11,0,1,2.9,94.15,5.62,2.1,2.65,4.4,0,4.5
52385172,@jonogaluszka a content editor at the Defence Force. Big change. Bit nervous.,Human,0,77,4,58,4,0,11,12,6.22,3,4,3,8,0,1,8,59.3,12.13,10.5,11.82,11.47,0,7
52660118,"Congratulations to all babies born today. And to all expecting moms, have a great Labor Day! #laborday #fail",Human,0,108,4,82,5,0,17,18,6.18,3,6,3,14,0,1,6.8,62.34,8.47,6.9,8.67,8.04,0,4.5
53102055,"Per @booktabs, 1,800 high school seniors from SA committed to go to college. 20 of them are ivy league bound. Last year: 1,500 #CollegeWeek",Human,0,139,6,92,9,9,23,24,5.86,3,8,6,17,1,1,2.9,88.74,11.93,5.3,6.45,6.53,7.8,3.67
53114456,RT @DallasBarAssoc: RT @vitaladvocacy: Look forward to doing the #invocation for @DallasBarAssoc #lawday2015 #luncheon with @JusticeGuzman ,Human,0,139,13,97,9,4,16,16,9.3,1,16,2,10,2,0.8,17.8,-3.99,12.33,22.8,23.78,16.4,0,13
53375745,RT @folademutota: Women's Conversations Caravan #MakingOurVoiceCount Biche May 16 #WINAD @kalifasclyne @KevanGibbsTT @fayannlyons @Boomcham,Human,0,139,21,94,10,1,13,14,8.69,1,14,2,4,2,1,17,-1.96,18.99,28,30.62,22.74,0,13
54125633,@speedmister007 and the current king maker.. Mr. Amit Shah.,Human,0,59,3,40,5,3,8,9,6.17,1,9,4,6,0,1,4.4,79.26,14.61,9.8,10.58,8.04,0,4.5
54216535,@RobertDowneyJr wow! Thanks for doing this. Good luck all :),Human,0,60,5,41,5,0,9,10,7,3,3.33,4,6,0,1,0.3,100.75,9.12,7.5,7.33,1.8,0,1.5
54252876,Expectation is the root of all heartache,Human,0,40,1,33,0,0,6,7,8,1,7,0,6,0,1,3.7,81.29,8.5,5,8.24,8.51,0,3.5
54316606,Cloud's view ? https://t.co/k0M3ojzjM6,Human,0,38,3,22,7,3,3,4,4.5,2,2,4,3,0,1,9.2,34.59,30.1,35,28.55,1.2,0,2
55431252,A lot of good players are still there at 30. Not sure what the Packers are gonna do here. #InTedWeTrust #GoPackGo,Human,0,113,10,77,5,1,20,21,6,3,7,2,16,1,1,2.7,94.66,8.67,4.7,5.83,6.1,0,4.75
55755826,RT @FwJesus: Get God's plan before making your own plans.,Human,0,57,6,38,4,0,9,10,4.5,1,10,3,7,1,1,4.8,78.25,10.45,6.2,6.76,8,0,5
24,At least two hours of my OSHA 10 hour training today were spent navigating this awful buggy interface.,Human,0,102,5,77,2,1,17,18,5.64,1,18,1,15,1,1,10.3,53.21,9.79,9.8,9.51,11.64,0,11
58983782,i closed the tab of FB only to open another tab of FB. it's getting late.,Human,0,73,4,51,3,0,15,16,3.6,2,8,3,15,2,0.8,2.9,88.74,6.99,-0.4,0.3,3.2,0,3.5
62488487,@RoFiSoCat I was thinking it was a date better suited to nthn hemisphere though it may be a tad chilly there too.,Human,0,113,5,85,2,0,21,22,6,1,22,1,20,1,1,7.2,82.99,9.03,9.3,6.44,8.8,0,11
66789784,Mary Jane Veloso lives. #GodIsGood,Human,0,34,6,22,2,0,4,5,5.6,2,2.5,1,1,0,1,0.5,100.24,16.52,9.3,10.76,2,0,1.5
67849262,Little 17 years old pissing #RR off. Go #rcb #IPL,Human,0,49,7,27,5,1,9,10,3.67,2,5,1,5,2,1,0.5,100.24,13.36,-0.2,-0.85,2,0,1.5
92,Birthday suit.,Human,0,14,1,11,1,0,1,2,6,1,2,1,1,0,1,2.9,77.91,0.1,10.2,4.2,0.8,0,0
68566691,"Maybe some feelings are, and always will be, beyond words.",Human,0,58,1,45,3,0,9,10,6.5,1,10,3,9,0,1,3.7,86.71,8.87,6.6,7.92,4,0,4
68915174,"If someone tells you that you hurt them, you don't get to decide that you didn't.",Human,0,81,1,61,4,0,15,16,4.2,1,16,4,17,0,0.8,4.8,89.08,5.42,6,4.93,6.4,0,7
71978714,"RT @ProteinWorld: @lawrencedarcy This is not feminism, it is extremism. #getagrip #BeachBodyReady #Winning ",Human,0,107,9,77,8,0,13,13,9.12,2,6.5,3,8,1,1,8.2,47.96,13.68,15.9,18.16,11.83,0,3.75
72060994,@pathway2wedding what law needs to be passed to not do drugs? Or sell drugs?,Human,0,76,1,58,3,1,13,14,6.33,2,7,2,13,0,0.83,0.1,106.67,8.5,3.3,4.94,5.66,0,3
72196532,You don't need jobs programs. You need to stop acting like savages. #BaltimoreRiots,Human,0,83,4,63,4,0,12,13,6.57,3,4.33,3,11,0,1,4.6,73.34,10.03,7.5,9.63,5.68,0,2.75
74602378,RT @FebWin: Age is just a word.,Human,0,31,5,17,3,0,6,7,3.75,1,7,2,4,1,1,0.1,106.67,8.5,-1.2,-1.74,2.8,0,2.5
97,I love French Fries during work hours... they have the power to make a hectic day look effortless! #TrueLove,Human,0,108,5,80,5,0,18,19,5.45,2,9.5,4,15,1,1,3.5,87.21,8.26,5.6,6.87,5.91,0,4.25
74785094,I told the cashier at the counter I bought Pringles so I could put two in my mouth and pretend it was my beak... I think I traumatized him!,Human,0,139,6,101,4,0,28,29,6.2,2,14.5,4,23,5,1,3,99.06,6.53,3.9,3.53,7.18,0,6.75
99,I need another mini vacay already!! Lol,Human,0,39,2,29,2,0,6,7,4.5,2,3.5,2,5,1,1,7.2,55.91,10.75,4.3,5.75,2.8,0,3.5
77558505,"@oldjimmymac Law is colorless, unless you just think white.",Human,0,59,1,47,3,0,8,9,7,1,9,2,8,0,1,8,53.88,7.59,9.8,11.86,12.49,0,5.5
78989741,@AceMcWicked what'd he do?,Human,0,26,3,17,3,0,3,4,11,1,4,2,4,0,1,1.3,92.8,11.73,7.7,5.8,1.6,0,1
79057935,@robotexplosion thrs definitely a resemblance.,Human,0,46,0,40,2,0,4,5,9.75,1,5,1,5,0,1,19.4,-35.13,16.52,20.6,24.68,26,0,4.5
79168933,RT @FemaleTexts: they hurt you and then they act like you hurt them.,Human,0,68,4,49,3,0,12,13,4.8,1,13,2,11,1,0.8,3.6,92.12,6.71,5.4,5.5,8.28,0,6.5
80988429,RT @DomHarvey: Producers must have been begging Arthur to keep Crystal in the show. She is great TV! The Natalia Kills of #TheBachelorNZ,Human,0,136,17,92,5,0,22,23,6.33,3,7.67,3,12,2,1,3.9,80.58,10.88,5.8,7.84,6.56,7.8,3.5
84224606,@akmk Thanks. Sucks to be sick when the weather is this nice!,Human,0,61,2,45,3,0,11,12,4.8,2,6,2,10,0,1,2.1,101.6,6.86,4.2,4.57,4.8,0,5
84464758,"@Photo907 Several years of research &amp; gathering photos, six months of writing &amp; editing, now to designer &amp; then proofing.",Human,0,133,2,99,10,3,19,20,5.25,1,20,6,18,0,0.75,11.1,51.18,12.52,15.4,12.88,12,0,13
86432824,"i am meekly requesting you all, each and everyone, to pray for my dearest friend's son as he's suffering from SMA. it's critical!",Human,0,129,3,97,7,0,22,23,6.62,2,11.5,7,25,1,1,9.9,65.05,9.58,12,8.25,14.42,0,15.5
88515231,@darrenrovell exactly what they dreamed of... two of their biggest stars ten strokes back!,Human,0,90,0,72,5,0,13,14,6.43,1,14,4,14,0,1,3.7,81.29,10.75,8,9.87,8.51,0,3.5
20,@sarabooks Writing dystopian future featuring a unique twist. Just did the main villain's origin.,Human,0,97,2,78,4,0,13,14,7.11,2,7,3,13,0,1,6,64.37,14.13,10.3,13.17,5.66,0,3
84,The top 10 best ways to eat green eggs and ham. #clickbaitbooks,Human,0,63,1,47,3,1,11,12,5,2,6,1,10,0,1,3.3,93.14,9.5,5,6.02,8.13,0,6
88640630,Will #SCOTUS uphold America's founding principle of all are created equal? Or legalize some being more equal than others? #LoveCantWait,Human,0,135,12,99,5,0,19,20,7.3,3,6.67,3,16,1,0.9,9.6,44.41,11.24,10.9,13.43,14,0,6.5
89699349,"@LittleLiars Just be A skulking around, looking like an idiot in a black hoodie.",Human,0,80,4,60,3,0,13,14,7,1,14,2,11,1,1,6.4,74.19,9.97,8.1,8.63,5.6,0,6
93821152,"Wow! @RealMelina just Favorited my MNM's debut 10 years ago Tweet! God, she brings me back so many memories!",Human,0,108,9,73,7,1,18,19,5.08,3,6.33,5,13,1,1,4.6,78.75,12.42,5.6,6.58,8.01,0,4.75
56,Attending Nutcracker by Moscow Ballet on Ice. Extremely bad and very poorly produced #fail,Human,0,90,6,69,2,0,13,14,6.78,2,7,1,8,0,1,7.2,55.91,11.88,8,11.14,11.37,0,4
66,RT @airnewsalerts: #MTNL introduces unlimited free local calling for its landline &amp; broadband customers to any network at night from today.,Human,0,143,6,111,6,0,20,21,6.31,1,21,3,19,2,1,11.5,50.16,12.95,16.7,15.03,12.21,0,12.5
98596642,.mayorSRB - why not enact a curfew tonight instead of tomorrow? You're simply enabling criminals and jeopardizing citizens. #BaltimoreRiots,Human,0,139,6,109,6,0,18,19,8.18,3,6.33,5,16,0,1,12.7,20.04,11.98,14.7,18.01,12.49,0,6.25
99494968,Isnt it weird how we basically have an endless mental conversation with ourselves? #FridayThe13th #TGIF,Human,0,103,7,77,3,2,14,15,8,2,7.5,1,12,1,1,10.3,47.79,12.8,14,15.36,11.33,0,8.5
100837759,What a great day not to much to do and nothing to do tomorrow #peace#relax#historychannel#allday,Human,0,96,1,77,4,0,14,15,6.57,1,15,0,17,0,1,10.3,47.79,7.54,11.8,12.29,8.67,0,8.5
101704239,Last month of college pain. #almostthere,Human,0,40,1,32,2,0,5,6,6.75,2,3,1,5,0,1,4.5,73.85,6.57,9,11.07,9.07,0,3
104960620,"@Shogannaii i know about the dogs they breed for eating. i also know about the puppy factories. this, however, is a first for me.",Human,0,129,1,99,6,0,23,24,6.5,3,8,5,23,0,1,2.9,88.74,7.32,3.4,4.54,4.87,7.8,3.67
105194117,Steve Gunns fact of the day: The only Marvel movies I've watched were the first Spider-Man ones. Marvel sucks.,Human,0,110,8,79,5,0,18,19,5.7,2,9.5,5,13,1,0.9,7.2,77.57,9.57,10.9,9.28,7.6,0,10.5
107719682,@jmay11 @MrGrizz33 @JoeMullinax #believe,Human,0,40,4,25,4,4,3,4,8.25,1,4,0,2,0,1,13.1,8.2,15.68,24.1,24.65,21.6,0,3
107821380,RT @PinoyHo: Current Mood: I need Food!,Human,0,39,8,21,4,0,6,7,4.8,1,7,3,1,2,1,2.5,89.75,13.01,4.3,4.07,2.8,0,2.5
107927301,@dannahace haha ge,Human,0,18,0,15,1,0,2,3,6.5,1,3,0,3,0,1,9.2,34.59,19.58,5.2,3.43,14.53,0,1.5
108135829,@cbennett415 result=able to work again.,Human,0,39,0,29,3,3,4,5,8.67,1,5,1,5,0,1,5.2,66.4,10.2,14,15.4,10,0,2.5
108197365,RT @IndianDiplomacy: Keibul Lamjao National Park in Manipur is part of Loktak Lake &amp; the only floating park in the world #CelebratingIndia ,Human,0,143,13,103,5,0,22,22,6.19,1,22,2,12,1,1,11.9,49.15,11.9,15.5,13.29,14.25,0,14
108924595,So excited for the big fight tomorrow! @FloydMayweather @MannyPacquiao ,Human,0,71,5,54,3,0,9,9,8.5,2,4.5,1,6,0,1,13.9,11.58,7.59,15.5,18.99,12.49,0,7.5
110087402,@BeingSalmanKhan ya its salman khan we proud of you you are real #indian #hindustani,Human,0,84,3,65,3,0,13,14,7.14,1,14,0,13,0,1,6.4,74.19,9.97,9.4,10.32,8.46,0,8
110118205,"@ANI_news RT Just want to say to kejriwal ji that by apologizing, the farmer (Gajendra) will not come back: Mayawati @ArvindKejriwal",Human,0,132,10,95,7,0,20,21,7.67,1,21,4,15,1,1,11.5,50.16,10.69,14.2,12.01,14.11,0,13.5
114370111,"@rsvg100 wow,u r an abusive idiot.what a moron!",Human,0,47,0,33,4,3,7,8,5.5,1,8,3,9,0,1,2.5,84.34,17.65,4.1,2.9,1.6,0,1
114910555,"@Prashant1056 No no,dont accept something u dont agree to.try to see my pov.i m asking u to think 4victims,not abt probable misuse of a law.",Human,0,140,2,103,6,5,24,25,6.2,1,25,5,25,0,1,4.2,79.97,10.36,4.6,6.17,4.92,7.8,3.83
115576089,@Rig_Ved This is new to me:)whr in phoolbagan?thr is a greek cemetary thr nr the more @WeAreCalcutta @SubhoS7,Human,0,109,8,76,7,1,17,18,6.1,1,18,3,16,0,0.9,4.4,79.26,11.98,7.1,8.67,8.04,0,4.5
122047987,RT @MEAIndia: . @PP_IITK  Approximately 3500-4000 Indian nationals currently in Yemen.,Human,0,86,15,45,7,8,11,11,7.56,2,5.5,4,3,2,1,14.3,10.56,18.34,18.9,21.26,16,0,8.5
130705183,When does the Countess announce she's moving to Reno to take over a convent and meet Whoopi? #DowntonPBS,Human,0,104,8,76,3,0,17,18,6.62,2,9,2,14,0,1,6.8,78.59,9.79,10.3,9.51,7.2,0,8
